dataset,seed,split,metric,value
plm4ace_cleaned_2_5,42,train,n_total,397
plm4ace_cleaned_2_5,42,train,cls_label_0,268
plm4ace_cleaned_2_5,42,train,cls_label_1,129
plm4ace_cleaned_2_5,42,train,length_2,77
plm4ace_cleaned_2_5,42,train,length_3,126
plm4ace_cleaned_2_5,42,train,length_4,83
plm4ace_cleaned_2_5,42,train,length_5,111
plm4ace_cleaned_2_5,42,valid,n_total,100
plm4ace_cleaned_2_5,42,valid,cls_label_0,68
plm4ace_cleaned_2_5,42,valid,cls_label_1,32
plm4ace_cleaned_2_5,42,valid,length_2,22
plm4ace_cleaned_2_5,42,valid,length_3,36
plm4ace_cleaned_2_5,42,valid,length_4,26
plm4ace_cleaned_2_5,42,valid,length_5,16
plm4ace_cleaned_2_5,42,test,n_total,125
plm4ace_cleaned_2_5,42,test,cls_label_0,84
plm4ace_cleaned_2_5,42,test,cls_label_1,41
plm4ace_cleaned_2_5,42,test,length_2,23
plm4ace_cleaned_2_5,42,test,length_3,42
plm4ace_cleaned_2_5,42,test,length_4,23
plm4ace_cleaned_2_5,42,test,length_5,37
plm4ace_cleaned_2_5,52,train,n_total,397
plm4ace_cleaned_2_5,52,train,cls_label_0,268
plm4ace_cleaned_2_5,52,train,cls_label_1,129
plm4ace_cleaned_2_5,52,train,length_2,73
plm4ace_cleaned_2_5,52,train,length_3,127
plm4ace_cleaned_2_5,52,train,length_4,88
plm4ace_cleaned_2_5,52,train,length_5,109
plm4ace_cleaned_2_5,52,valid,n_total,100
plm4ace_cleaned_2_5,52,valid,cls_label_0,68
plm4ace_cleaned_2_5,52,valid,cls_label_1,32
plm4ace_cleaned_2_5,52,valid,length_2,24
plm4ace_cleaned_2_5,52,valid,length_3,30
plm4ace_cleaned_2_5,52,valid,length_4,22
plm4ace_cleaned_2_5,52,valid,length_5,24
plm4ace_cleaned_2_5,52,test,n_total,125
plm4ace_cleaned_2_5,52,test,cls_label_0,84
plm4ace_cleaned_2_5,52,test,cls_label_1,41
plm4ace_cleaned_2_5,52,test,length_2,25
plm4ace_cleaned_2_5,52,test,length_3,47
plm4ace_cleaned_2_5,52,test,length_4,22
plm4ace_cleaned_2_5,52,test,length_5,31
plm4ace_cleaned_2_5,62,train,n_total,397
plm4ace_cleaned_2_5,62,train,cls_label_0,268
plm4ace_cleaned_2_5,62,train,cls_label_1,129
plm4ace_cleaned_2_5,62,train,length_2,74
plm4ace_cleaned_2_5,62,train,length_3,134
plm4ace_cleaned_2_5,62,train,length_4,81
plm4ace_cleaned_2_5,62,train,length_5,108
plm4ace_cleaned_2_5,62,valid,n_total,100
plm4ace_cleaned_2_5,62,valid,cls_label_0,68
plm4ace_cleaned_2_5,62,valid,cls_label_1,32
plm4ace_cleaned_2_5,62,valid,length_2,28
plm4ace_cleaned_2_5,62,valid,length_3,25
plm4ace_cleaned_2_5,62,valid,length_4,18
plm4ace_cleaned_2_5,62,valid,length_5,29
plm4ace_cleaned_2_5,62,test,n_total,125
plm4ace_cleaned_2_5,62,test,cls_label_0,84
plm4ace_cleaned_2_5,62,test,cls_label_1,41
plm4ace_cleaned_2_5,62,test,length_2,20
plm4ace_cleaned_2_5,62,test,length_3,45
plm4ace_cleaned_2_5,62,test,length_4,33
plm4ace_cleaned_2_5,62,test,length_5,27
plm4ace_cleaned_2_5,72,train,n_total,397
plm4ace_cleaned_2_5,72,train,cls_label_0,268
plm4ace_cleaned_2_5,72,train,cls_label_1,129
plm4ace_cleaned_2_5,72,train,length_2,89
plm4ace_cleaned_2_5,72,train,length_3,123
plm4ace_cleaned_2_5,72,train,length_4,85
plm4ace_cleaned_2_5,72,train,length_5,100
plm4ace_cleaned_2_5,72,valid,n_total,100
plm4ace_cleaned_2_5,72,valid,cls_label_0,68
plm4ace_cleaned_2_5,72,valid,cls_label_1,32
plm4ace_cleaned_2_5,72,valid,length_2,12
plm4ace_cleaned_2_5,72,valid,length_3,31
plm4ace_cleaned_2_5,72,valid,length_4,24
plm4ace_cleaned_2_5,72,valid,length_5,33
plm4ace_cleaned_2_5,72,test,n_total,125
plm4ace_cleaned_2_5,72,test,cls_label_0,84
plm4ace_cleaned_2_5,72,test,cls_label_1,41
plm4ace_cleaned_2_5,72,test,length_2,21
plm4ace_cleaned_2_5,72,test,length_3,50
plm4ace_cleaned_2_5,72,test,length_4,23
plm4ace_cleaned_2_5,72,test,length_5,31
plm4ace_cleaned_2_5,82,train,n_total,397
plm4ace_cleaned_2_5,82,train,cls_label_0,268
plm4ace_cleaned_2_5,82,train,cls_label_1,129
plm4ace_cleaned_2_5,82,train,length_2,74
plm4ace_cleaned_2_5,82,train,length_3,129
plm4ace_cleaned_2_5,82,train,length_4,94
plm4ace_cleaned_2_5,82,train,length_5,100
plm4ace_cleaned_2_5,82,valid,n_total,100
plm4ace_cleaned_2_5,82,valid,cls_label_0,68
plm4ace_cleaned_2_5,82,valid,cls_label_1,32
plm4ace_cleaned_2_5,82,valid,length_2,23
plm4ace_cleaned_2_5,82,valid,length_3,34
plm4ace_cleaned_2_5,82,valid,length_4,20
plm4ace_cleaned_2_5,82,valid,length_5,23
plm4ace_cleaned_2_5,82,test,n_total,125
plm4ace_cleaned_2_5,82,test,cls_label_0,84
plm4ace_cleaned_2_5,82,test,cls_label_1,41
plm4ace_cleaned_2_5,82,test,length_2,25
plm4ace_cleaned_2_5,82,test,length_3,41
plm4ace_cleaned_2_5,82,test,length_4,18
plm4ace_cleaned_2_5,82,test,length_5,41
