dataset,seed,split,metric,value
plm4ace_cleaned_2_5,72,train,n_total,397
plm4ace_cleaned_2_5,72,train,cls_label_0,268
plm4ace_cleaned_2_5,72,train,cls_label_1,129
plm4ace_cleaned_2_5,72,train,length_2,89
plm4ace_cleaned_2_5,72,train,length_3,123
plm4ace_cleaned_2_5,72,train,length_4,85
plm4ace_cleaned_2_5,72,train,length_5,100
plm4ace_cleaned_2_5,72,valid,n_total,100
plm4ace_cleaned_2_5,72,valid,cls_label_0,68
plm4ace_cleaned_2_5,72,valid,cls_label_1,32
plm4ace_cleaned_2_5,72,valid,length_2,12
plm4ace_cleaned_2_5,72,valid,length_3,31
plm4ace_cleaned_2_5,72,valid,length_4,24
plm4ace_cleaned_2_5,72,valid,length_5,33
plm4ace_cleaned_2_5,72,test,n_total,125
plm4ace_cleaned_2_5,72,test,cls_label_0,84
plm4ace_cleaned_2_5,72,test,cls_label_1,41
plm4ace_cleaned_2_5,72,test,length_2,21
plm4ace_cleaned_2_5,72,test,length_3,50
plm4ace_cleaned_2_5,72,test,length_4,23
plm4ace_cleaned_2_5,72,test,length_5,31
