dataset,seed,split,metric,value
plm4ace_cleaned_2_3,42,train,n_total,208
plm4ace_cleaned_2_3,42,train,cls_label_0,130
plm4ace_cleaned_2_3,42,train,cls_label_1,78
plm4ace_cleaned_2_3,42,train,length_2,74
plm4ace_cleaned_2_3,42,train,length_3,134
plm4ace_cleaned_2_3,42,valid,n_total,52
plm4ace_cleaned_2_3,42,valid,cls_label_0,32
plm4ace_cleaned_2_3,42,valid,cls_label_1,20
plm4ace_cleaned_2_3,42,valid,length_2,20
plm4ace_cleaned_2_3,42,valid,length_3,32
plm4ace_cleaned_2_3,42,test,n_total,66
plm4ace_cleaned_2_3,42,test,cls_label_0,41
plm4ace_cleaned_2_3,42,test,cls_label_1,25
plm4ace_cleaned_2_3,42,test,length_2,28
plm4ace_cleaned_2_3,42,test,length_3,38
