dataset,seed,split,metric,value
plm4ace_cleaned_2_5,62,train,n_total,397
plm4ace_cleaned_2_5,62,train,cls_label_0,268
plm4ace_cleaned_2_5,62,train,cls_label_1,129
plm4ace_cleaned_2_5,62,train,length_2,74
plm4ace_cleaned_2_5,62,train,length_3,134
plm4ace_cleaned_2_5,62,train,length_4,81
plm4ace_cleaned_2_5,62,train,length_5,108
plm4ace_cleaned_2_5,62,valid,n_total,100
plm4ace_cleaned_2_5,62,valid,cls_label_0,68
plm4ace_cleaned_2_5,62,valid,cls_label_1,32
plm4ace_cleaned_2_5,62,valid,length_2,28
plm4ace_cleaned_2_5,62,valid,length_3,25
plm4ace_cleaned_2_5,62,valid,length_4,18
plm4ace_cleaned_2_5,62,valid,length_5,29
plm4ace_cleaned_2_5,62,test,n_total,125
plm4ace_cleaned_2_5,62,test,cls_label_0,84
plm4ace_cleaned_2_5,62,test,cls_label_1,41
plm4ace_cleaned_2_5,62,test,length_2,20
plm4ace_cleaned_2_5,62,test,length_3,45
plm4ace_cleaned_2_5,62,test,length_4,33
plm4ace_cleaned_2_5,62,test,length_5,27
