sample_id,sequence,length,task_role,is_main_23,is_aux_45,label_pIC50,label_ic50_uM,sample_weight,weight_len,weight_quality,source_count,is_from_merged_backbone,contains_merged,high_confidence_flag,conflict_flag,tier_23,dedup_strategy,label_source_mode,ic50_uM_min,ic50_uM_max,ic50_uM_median,ic50_uM_mean,ic50_spread_ratio_max_min,source_db_set,source_table_set,source_file_set,origin_source_set,raw_record_ids,citation_ids,notes,record_count_total,row_count_after_filter
MAIN_0249,IIP,3,main,True,False,4.342944147142896,45.4,0.85,1.0,0.85,2,True,True,False,False,Tier C,merged_backbone,merged_sequence_level_authoritative,10.0,80.8,45.4,45.4,8.08,,,,merged_short23_tiered_standardized || ahtpdb_clean_um_standardized,ace_merged_001187 | ace_merged_001188 || 1232 | 2094 || 1232,Sweet-potato protein isolate,"source_count=1; spread_ratio=8.0800 || single-source evidence with usable IC50 || AHTPDB || small || exact_molar_value || not_converted: ic50_type不是mass_unit || Cushman and Cheung (1971) || Absorption Chromatography, RP-HPLC",3,2
MAIN_0322,LRW,3,main,True,False,6.823908740944319,0.15,0.8,1.0,0.8,3,True,True,False,False,Tier E,merged_backbone,merged_sequence_level_authoritative,0.0,0.23,0.15,0.15,,,,,merged_short23_tiered_standardized || biopep_core_standardized || ahtpdb_clean_um_standardized,ace_merged_001584 | ace_merged_001585 | ace_merged_001586 || 1989 | 6489 | 7414 || biopep_ace_000154 || 7414 || 1989,https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=7414 || Legume (Pea proteins),spread_ratio_unavailable || unknown or insufficient evidence pattern || AHTPDB | BIOPEP-UWM || AHTPDB: ID 1989 BioPepDB: ID biopep00889 BIOPEP-UWM database of bioactive peptides: ID 9878 EROP-Moscow: ID E23787 FeptideDB: ID 7414 ChemSpider: ID 16572302 MeSH: term Leu-Arg-Trp PlantPepDB: ID PPepDB_140 PubChem: CID 60206537 || BIOPEP-UWM || small || exact_molar_value || not_converted: ic50_type不是mass_unit || Cushman and Cheung (1971) || HPLC,5,3
MAIN_0232,HQG,3,main,True,False,3.1278437272517072,745.0,0.8,1.0,0.8,3,True,True,False,False,Tier D,merged_backbone,merged_sequence_level_authoritative,741.3,20000.0,745.0,745.0,26.97963037906381,,,,merged_short23_tiered_standardized || biopep_core_standardized || ahtpdb_clean_um_standardized,ace_merged_001131 | ace_merged_001132 | ace_merged_001133 || 1518 | 5066 | 9027 || biopep_ace_000325 || 9027 || 5066,https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=9027 || Synthesized,"source_count=2; spread_ratio=26.9796 || multi-source evidence but conflicting IC50 range || AHTPDB | BIOPEP-UWM || AHTPDB: ID 1518, 5066 BioPepDB: ID biopep00472 SATPdb: ID satpdb28339 || BIOPEP-UWM || small || exact_molar_value || not_converted: ic50_type不是mass_unit || Cushman and Cheung (1971), Yamamoto and others || HPLC",5,3
MAIN_0225,GVW,3,main,True,False,3.619788758288394,240.0,0.95,1.0,0.95,3,True,True,False,False,Tier B,merged_backbone,merged_sequence_level_authoritative,240.0,240.0,240.0,240.0,1.0,,,,merged_short23_tiered_standardized || biopep_core_standardized || ahtpdb_clean_um_standardized,ace_merged_001101 | ace_merged_001102 | ace_merged_001103 | ace_merged_001104 | ace_merged_001105 || 3651 | 5213 | 5815 | 6501 | 7491 || biopep_ace_000160 || 7491 || 3651 || 5213 || 5815 || 6501,https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=7491 || Milk (Fermented Milk) || Milk,"source_count=2; spread_ratio=1.0000 || 2 sources and consistent within acceptable spread || AHTPDB | BIOPEP-UWM || AHTPDB: ID 3651, 4174, 4812, 4971, 5213, 5815, 6501 ChEBI: ID 164181 DFBP: ID DFBPACEI0665; DFBPANHY0566; DFBPMUFU0149 EROP-Moscow: ID E26429 J-GLOBAL: ID 200907057292666707 Metabolomics Workbench: ID 82253 Nikkaji: ID J2.440.041G PubChem: CID 102403414 || BIOPEP-UWM || small || exact_molar_value || not_converted: ic50_type不是mass_unit || Cushman and Cheung (1971) || GFC, RP-HPLC",10,6
AUX_0316,VHLPP,5,aux,False,True,4.7447274948966935,18.0,0.4,0.5,0.8,2,False,False,False,False,,cross_source_or_source_only_aggregation,aggregated_from_filtered_exact_candidates,18.0,18.0,18.0,18.0,1.0,,,,biopep_core_standardized || ahtpdb_clean_um_standardized,biopep_ace_000118 || 3526 || 2376 || 5344 || 5756 || 6444,https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=3526 || Cereals (Maize (Zea mays)) || Cereals (Maize endosperm),"BIOPEP-UWM || small || exact_molar_value || not_converted: ic50_type不是mass_unit || Cushman and Cheung (1971) || GFC, IEC, RP-HPLC, UF",5,5
AUX_0176,DHPFL,5,aux,False,True,5.207608310501746,6.2,0.35,0.5,0.7,1,False,False,False,False,,cross_source_or_source_only_aggregation,aggregated_from_filtered_exact_candidates,6.2,6.2,6.2,6.2,1.0,,,,ahtpdb_clean_um_standardized,2545,,small || exact_molar_value || not_converted: ic50_type不是mass_unit,1,1
AUX_0254,LYHVL,5,aux,False,True,4.756961951313706,17.5,0.35,0.5,0.7,1,False,False,False,False,,cross_source_or_source_only_aggregation,aggregated_from_filtered_exact_candidates,17.5,17.5,17.5,17.5,1.0,,,,biopep_core_standardized,biopep_ace_000450 || 9204,https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=9204,BIOPEP-UWM,1,1
MAIN_0106,RL,2,main,True,False,1.9840872486291712,10373.2,0.85,1.0,0.85,2,True,True,False,False,Tier C,merged_backbone,merged_sequence_level_authoritative,746.4,20000.0,10373.2,10373.2,26.79528403001072,,,,merged_short23_tiered_standardized || ahtpdb_clean_um_standardized,ace_merged_000543 | ace_merged_000544 || 1246 | 1434 || 1246,Sweet-potato tuber trypsin inhibitor,"source_count=1; spread_ratio=26.7953 || single-source evidence with usable IC50 || AHTPDB || small || exact_molar_value || not_converted: ic50_type不是mass_unit || TLC (Holmquist et al., 1979) || TrypsinSepharose-4B AC",3,2
MAIN_0027,EY,2,main,True,False,5.571865205971212,2.68,0.85,1.0,0.85,2,True,True,False,False,Tier C,merged_backbone,merged_sequence_level_authoritative,2.68,1289.0335471,2.68,2.68,480.9826668283582,,,,merged_short23_tiered_standardized || ahtpdb_clean_um_standardized,ace_merged_000125 | ace_merged_000126 | ace_merged_000127 | ace_merged_000128 | ace_merged_000129 || 1115 | 2819 | 5145 | 6193 | 6700 || 1115 || 2819 || 5145 || 6193 || 6700,Fish (Shark meat) || Fish (Shark) || Fish (Shark meat hydrolysate),"source_count=1; spread_ratio=480.9827 || single-source evidence with usable IC50 || AHTPDB || small || exact_molar_value || not_converted: ic50_type不是mass_unit || He et al. || UF, GF and RP-HPLC || exact_mass_value_converted_to_uM_by_molwt || mass_unit_mg_per_mL_converted_to_uM || UF, GF, RP-HPLC || Cushman and Cheung (1971) || GFC, RP-HPLC, UF",10,6
AUX_0190,GLTSK,5,aux,False,True,4.184422251675732,65.4,0.35,0.5,0.7,1,False,False,False,False,,cross_source_or_source_only_aggregation,aggregated_from_filtered_exact_candidates,65.4,65.4,65.4,65.4,1.0,,,,biopep_core_standardized,biopep_ace_000390 || 9097,https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=9097,BIOPEP-UWM,1,1
