sequence,length,task_role,is_main_23,is_aux_45,label_ic50_uM,label_pIC50,cls_label,cls_label_name,plm4ace_label,cls_source,cls_threshold_ic50_uM,cls_length_range,sample_weight,weight_len,weight_quality,source_count,record_count_total,high_confidence_flag,conflict_flag,tier_23,ic50_uM_min,ic50_uM_max,ic50_uM_median,ic50_uM_mean,ic50_spread_ratio_max_min,source_db_set,origin_source_set,citation_ids,notes,dedup_strategy,label_source_mode,is_from_merged_backbone,contains_merged,source_table_set,source_file_set,raw_record_ids,row_count_after_filter
LY,2,main,True,False,44.0,4.356547323513812,1,high_activity,0,label_ic50_uM <= 50.0 uM,50.0,2_5,0.8,1.0,0.8,4,22,False,False,Tier D,6.8,20000.0,44.0,44.0,2941.176470588236,,merged_short23_tiered_standardized || biopep_core_standardized || mbpdb_core_standardized || ahtpdb_clean_um_standardized,10.1080/1475636031000138723 || https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=3381 || Fish (Sardine) || Egg proteins || Rapeseed proteins || Rapeseed protein || Fish (Sardine (Sardina pilchardus muscle)) || Fish (Sardine muscle),"source_count=3; spread_ratio=2941.1765 || multi-source evidence but conflicting IC50 range || AHTPDB | BIOPEP-UWM | MBPDB || ACToR: ID 968-21-8 AHTPDB: ID 1096, 1173, 1354, 1358, 1361, 1408, 1976, 2958, 3053, 3055, 3178, 3387, 3520, 3856, 3993, 4099, 4717, 5163, 5546, 5613, 5773, 6174, 6365 BindingDB: ID 50348865 BioPepDB: ID biopep00936 BIOPEP-UWM database of bioactive peptides: ID 7872 BIOPEP-UWM database of sensory peptides and amino acids: ID 482 BRENDA: Ligand Leu-Tyr ChEBI: ID 73591 ChEMBL: ID CHEMBL56099 ChemIDplus: ID 968-21-8 ChemSpider: ID 63589 CTD: ID 968-21-8 eChemPortal: ID 968-21-8 EROP-Moscow: ID E01336 J-GLOBAL: ID 200907084889987250 Metabolights: ID MTBLC73591 Nikkaji: ID J80.048A PubChem: CID 70410 SATPdb: ID satpdb19431 SureChEMBL: ID SCHEMBL2474675 ZINC: ID ZINC000001708202 || BIOPEP-UWM || Characterization of New Milk-derived Inhibitors of Angiotensin Converting Enzyme In Vitro and In Vivo || Bos taurus || Lactotransferrin || small || exact_molar_value || not_converted: ic50_type不是mass_unit || 2,4,6-trinitrobenzene sulfonate(TNBS) method || RP-GPC, HPLC || Cushman and Cheung (1971), Majumder & Wu (2009) || LC-MS/MS || Holmquist et al. (1979) || GPC, RP-HPLC || RP-HPLC || Cushman and Cheung (1971)",merged_backbone,merged_sequence_level_authoritative,True,True,,,ace_merged_000443 | ace_merged_000444 | ace_merged_000445 | ace_merged_000446 | ace_merged_000447 | ace_merged_000448 | ace_merged_000449 | ace_merged_000450 | ace_merged_000451 | ace_merged_000452 | ace_merged_000453 | ace_merged_000454 | ace_merged_000455 || 1096 | 1354 | 1358 | 1361 | 1408 | 1976 | 2958 | 3381 | 5163 | 5546 | 6174 | 6365 | MBPDB_P24627_LY_337-338 || biopep_ace_000075 || 3381 || mbpdb_ace_000016 || MBPDB_P24627_LY_337-338 || 1096 || 1976 || 2958 || 5163 || 5546 || 6174 || 6365,10
WAA,3,main,True,False,118.5,3.926281649653877,0,low_or_weak_activity,1,label_ic50_uM <= 50.0 uM,50.0,2_5,0.85,1.0,0.85,2,2,False,False,Tier C,118.5,118.5,118.5,118.5,1.0,,merged_short23_tiered_standardized || biopep_core_standardized,https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=10562,only_one_record_after_merge || single-source evidence with usable IC50 || BIOPEP-UWM || CAS: Registry No 166601-51-0 ChEBI: ID 164398 ChemSpider: ID 57533541 EPA CompTox: ID DTXSID40776156 EROP-Moscow: ID E24867 J-GLOBAL: ID 200907017005266998 Metabolomics Workbench: ID 85856 Nikkaji: ID J1.938.216H PubChem: CID 71350349,merged_backbone,merged_sequence_level_authoritative,True,True,,,ace_merged_002024 || 10562 || biopep_ace_000708,2
AW,2,main,True,False,18.8,4.72584215073632,1,high_activity,0,label_ic50_uM <= 50.0 uM,50.0,2_5,0.8,1.0,0.8,4,27,False,False,Tier D,10.0,20000.0,18.8,18.8,2000.0,,merged_short23_tiered_standardized || biopep_core_standardized || ferm_strict_core_standardized || ahtpdb_clean_um_standardized,https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=7543 || 12358510 | 19994857 || Soybean || Wakame || Soybean Sauce || Synthesized || Soybean (Glycine max - Fermented soybean seasoning) || Wakame (Undaria pinnatifida) || Cereals (Finnish),"source_count=3; spread_ratio=2000.0000 || multi-source evidence but conflicting IC50 range || AHTPDB | BIOPEP-UWM | FermFooDb || https://webs.iiitd.edu.in/raghava/fermfoodb/display_sub.php?details=FMDB1982 | https://webs.iiitd.edu.in/raghava/fermfoodb/display_sub.php?details=FMDB1989 | https://webs.iiitd.edu.in/raghava/fermfoodb/display_sub.php?details=FMDB842 || BIOPEP-UWM || within_range_consistent || spread_ratio=1.9333 || Ace-inhibitory || ACE color kit conatining p-hydroxybenzoylglycyl-L-histidyl-L-leucine as substrate | Spectrophotometric assay using HHL as substate || small || exact_molar_value || not_converted: ic50_type不是mass_unit || Kasahara and Ashihara (1981) || RPC, LC-MS/MS || Cushman and Cheung (1971) || RP-HPLC, LC-MS || exact_mass_value_converted_to_uM_by_molwt || mass_unit_ug_per_mL_converted_to_uM || NMR, LC-MS, GPC || ACE color kit (Fujirebio Corp., Tokyo, Japan), Ka || RP-HPLC, TLC || RP-HPLC",merged_backbone,merged_sequence_level_authoritative,True,True,,,ace_merged_000046 | ace_merged_000047 | ace_merged_000048 | ace_merged_000049 | ace_merged_000050 | ace_merged_000051 | ace_merged_000052 | ace_merged_000053 | ace_merged_000054 | ace_merged_000055 | ace_merged_000056 | ace_merged_000057 | ace_merged_000058 | ace_merged_000059 | ace_merged_000060 || 1266 | 1376 | 1441 | 1496 | 1856 | 1887 | 2844 | 5137 | 6206 | 6269 | 6530 | 7543 | FMDB1982 | FMDB1989 | FMDB842 || biopep_ace_000166 || 7543 || fermfoodb_ace_000247 | fermfoodb_ace_000755 | fermfoodb_ace_000762 || FMDB1982 | FMDB1989 | FMDB842 || 1266 || 1856 || 1887 || 2844 || 5137 || 6206 || 6269 || 6530,11
AEKTK,5,aux,False,True,884.8867496178614,3.053112308017721,0,low_or_weak_activity,1,label_ic50_uM <= 50.0 uM,50.0,2_5,0.35,0.5,0.7,1,1,False,False,,884.8867496178614,884.8867496178614,884.8867496178614,884.8867496178614,1.0,,ferm_strict_core_standardized,,singleton || only_one_record_in_fermfoodb || Ace-inhibitory || ANGIOTENSIN I-CONVERTING ENZYME (ACE) INHIBITORY PEPTIDES FROM WHEY FERMENTED BY LACTOBACILLUS SPECIES || Spectrophotometric assay using HHL as substate,cross_source_or_source_only_aggregation,aggregated_from_filtered_exact_candidates,False,False,,,fermfoodb_ace_000814 || FMDB2041,1
LQSW,4,aux,False,True,500.0,3.3010299956639813,0,low_or_weak_activity,1,label_ic50_uM <= 50.0 uM,50.0,2_5,0.48,0.6,0.8,2,3,False,False,,500.0,500.0,500.0,500.0,1.0,,mbpdb_core_standardized || ahtpdb_clean_um_standardized,10.3168/jds.S0022-0302(96)76487-1 || Enzymatic-hydrolysis (Hydrolysis with a proteinase from L. helveticus CP790),"Identification of an Antihypertensive Peptide from Casein Hydrolysate Produced by a Proteinase from Lactobacillus helveticus CP790 || Bos taurus || Beta-casein || small || exact_molar_value || not_converted: ic50_type不是mass_unit || Cushman and Cheung (1971) || Spectrophotometric, HPLC, UPLC",cross_source_or_source_only_aggregation,aggregated_from_filtered_exact_candidates,False,False,,,mbpdb_ace_000193 || MBPDB_P02666_LQSW_155-158 || 1729 || 6378,3
VRYL,4,aux,False,True,24.1,4.617982957425132,1,high_activity,0,label_ic50_uM <= 50.0 uM,50.0,2_5,0.48,0.6,0.8,2,5,False,False,,24.1,24.1,24.1,24.1,1.0,,mbpdb_core_standardized || ahtpdb_clean_um_standardized,10.1016/j.idairyj.2004.04.007 || Cheese (Manchego) || Milk-Cheese (Sheep milk and cheeses proteins),"Angiotensin converting enzyme-inhibitory activity of peptides isolated from Manchego cheese Stability under simulated gastrointestinal digestion || Ovis aries || Alpha-S2-casein || small || exact_molar_value || not_converted: ic50_type不是mass_unit || Cushman and Cheung (1971) || HPLC || IEC, RP-HPLC",cross_source_or_source_only_aggregation,aggregated_from_filtered_exact_candidates,False,False,,,mbpdb_ace_000266 || MBPDB_P04654_VRYL_220-223 || 1338 || 3622 || 4317 || 6702,5
MRWRD,5,aux,False,True,2.1,5.6777807052660805,1,high_activity,0,label_ic50_uM <= 50.0 uM,50.0,2_5,0.4,0.5,0.8,2,6,False,False,,2.09,2.1,2.1,2.098333333333333,1.0047846889952154,,biopep_core_standardized || ahtpdb_clean_um_standardized,https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=9664 || Spinach || Spinach Rubisco || Spinach (Spinacia oleracea),"BIOPEP-UWM || small || exact_molar_value || not_converted: ic50_type不是mass_unit || Cushman and Cheung (1971) || RPC, CC || Cushman and Cheung (1971), Maruyama and Suzuki || HPLC || IEC, RP-HPLC",cross_source_or_source_only_aggregation,aggregated_from_filtered_exact_candidates,False,False,,,biopep_ace_000530 || 9664 || 1922 || 2315 || 2573 || 5331 || 6228,6
APER,4,aux,False,True,530.21,3.275552085535661,0,low_or_weak_activity,1,label_ic50_uM <= 50.0 uM,50.0,2_5,0.42,0.6,0.7,1,1,False,False,,530.21,530.21,530.21,530.21,1.0,,biopep_core_standardized,https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=8949,BIOPEP-UWM,cross_source_or_source_only_aggregation,aggregated_from_filtered_exact_candidates,False,False,,,biopep_ace_000302 || 8949,1
MGP,3,main,True,False,51.11,4.291494119044764,0,low_or_weak_activity,1,label_ic50_uM <= 50.0 uM,50.0,2_5,0.85,1.0,0.85,2,2,False,False,Tier C,51.11,51.11,51.11,51.11,1.0,,merged_short23_tiered_standardized || biopep_core_standardized,https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=9142,only_one_record_after_merge || single-source evidence with usable IC50 || BIOPEP-UWM,merged_backbone,merged_sequence_level_authoritative,True,True,,,ace_merged_001644 || 9142 || biopep_ace_000411,2
PTPAP,5,aux,False,True,33.0,4.481486060122112,1,high_activity,0,label_ic50_uM <= 50.0 uM,50.0,2_5,0.4,0.5,0.8,2,3,False,False,,33.0,33.0,33.0,33.0,1.0,,mbpdb_core_standardized || ahtpdb_clean_um_standardized,10.1080/00021369.1989.10869621 || Milk (human casein),Inhibition of angiotensin-converting enzyme by synthetic peptide fragments of human kappa-casein || Homo sapiens || Kappa-casein || small || exact_molar_value || not_converted: ic50_type不是mass_unit || Kasahara and Ashihara (1981),cross_source_or_source_only_aggregation,aggregated_from_filtered_exact_candidates,False,False,,,mbpdb_ace_000051 || MBPDB_P07498_PTPAP_142-146 || 5336 || 6050,3
