dataset,seed,split,metric,value
plm4ace_cleaned_2_5,42,train,n_total,397
plm4ace_cleaned_2_5,42,train,cls_label_0,268
plm4ace_cleaned_2_5,42,train,cls_label_1,129
plm4ace_cleaned_2_5,42,train,length_2,77
plm4ace_cleaned_2_5,42,train,length_3,126
plm4ace_cleaned_2_5,42,train,length_4,83
plm4ace_cleaned_2_5,42,train,length_5,111
plm4ace_cleaned_2_5,42,valid,n_total,100
plm4ace_cleaned_2_5,42,valid,cls_label_0,68
plm4ace_cleaned_2_5,42,valid,cls_label_1,32
plm4ace_cleaned_2_5,42,valid,length_2,22
plm4ace_cleaned_2_5,42,valid,length_3,36
plm4ace_cleaned_2_5,42,valid,length_4,26
plm4ace_cleaned_2_5,42,valid,length_5,16
plm4ace_cleaned_2_5,42,test,n_total,125
plm4ace_cleaned_2_5,42,test,cls_label_0,84
plm4ace_cleaned_2_5,42,test,cls_label_1,41
plm4ace_cleaned_2_5,42,test,length_2,23
plm4ace_cleaned_2_5,42,test,length_3,42
plm4ace_cleaned_2_5,42,test,length_4,23
plm4ace_cleaned_2_5,42,test,length_5,37
