sequence,length,task_role,is_main_23,is_aux_45,label_ic50_uM,label_pIC50,cls_label,cls_label_name,plm4ace_label,cls_source,cls_threshold_ic50_uM,cls_length_range,sample_weight,weight_len,weight_quality,source_count,record_count_total,high_confidence_flag,conflict_flag,tier_23,ic50_uM_min,ic50_uM_max,ic50_uM_median,ic50_uM_mean,ic50_spread_ratio_max_min,source_db_set,origin_source_set,citation_ids,notes,dedup_strategy,label_source_mode,is_from_merged_backbone,contains_merged,source_table_set,source_file_set,raw_record_ids,row_count_after_filter
LVY,3,main,True,False,1.8,5.7447274948966935,1,high_activity,0,label_ic50_uM <= 50.0 uM,50.0,2_3,0.95,1.0,0.95,3,10,False,False,Tier B,1.8,5.84,1.8,1.8,3.2444444444444445,,merged_short23_tiered_standardized || biopep_core_standardized || ahtpdb_clean_um_standardized,https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=8402 || Sesame || Milk (Fermented Milk) || Sesame (Sesamum indicum),"source_count=2; spread_ratio=3.2444 || 2 sources and consistent within acceptable spread || AHTPDB | BIOPEP-UWM || BIOPEP-UWM || small || exact_molar_value || not_converted: ic50_type不是mass_unit || Friedland and Silverstein (1976) || SEC, RPC || Cushman and Cheung (1971), Gonzalez-Gonzalez et al || RP-HPLC, LC-MS/MS || GFC, RP-HPLC",merged_backbone,merged_sequence_level_authoritative,True,True,,,ace_merged_001619 | ace_merged_001620 | ace_merged_001621 | ace_merged_001622 | ace_merged_001623 || 1878 | 4457 | 5239 | 6185 | 8402 || biopep_ace_000292 || 8402 || 1878 || 4457 || 5239 || 6185,6
VWP,3,main,True,False,4.5,5.346787486224656,1,high_activity,0,label_ic50_uM <= 50.0 uM,50.0,2_3,0.85,1.0,0.85,2,2,False,False,Tier C,4.5,4.5,4.5,4.5,1.0,,merged_short23_tiered_standardized || ahtpdb_clean_um_standardized,Cereals (rice),"only_one_record_after_merge || single-source evidence with usable IC50 || AHTPDB || small || exact_molar_value || not_converted: ic50_type不是mass_unit || Chen, J., Wang, Y., Zhong, Q., Wu, Y., & Xia, W. ( || UF, RP-HPLC",merged_backbone,merged_sequence_level_authoritative,True,True,,,ace_merged_002009 || 3756,2
VES,3,main,True,False,83.18,4.079981083971085,0,low_or_weak_activity,1,label_ic50_uM <= 50.0 uM,50.0,2_3,0.85,1.0,0.85,2,2,False,False,Tier C,83.18,83.18,83.18,83.18,1.0,,merged_short23_tiered_standardized || biopep_core_standardized,https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=11317,only_one_record_after_merge || single-source evidence with usable IC50 || BIOPEP-UWM || ChEBI: ID 166188 Metabolomics Workbench: ID 86791 PubChem: CID 145458922 UniChem: ID 176707407 Wikidata: ID Q106024996,merged_backbone,merged_sequence_level_authoritative,True,True,,,ace_merged_001855 || 11317 || biopep_ace_000831,2
RYL,3,main,True,False,54.975,4.259834761967172,0,low_or_weak_activity,1,label_ic50_uM <= 50.0 uM,50.0,2_3,0.8,1.0,0.8,3,4,False,False,Tier D,3.31,106.64,54.975,54.975,32.21752265861027,,merged_short23_tiered_standardized || biopep_core_standardized || mbpdb_core_standardized,10.1016/j.idairyj.2013.05.008 || https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=9543,source_count=2; spread_ratio=32.2175 || multi-source evidence but conflicting IC50 range || BIOPEP-UWM | MBPDB || BIOPEP-UWM database of bioactive peptides: ID 10052 ChEBI: ID 159415 EROP-Moscow: ID E23959 MBPDB: Peptide RYL PubChem: CID 145453978 || BIOPEP-UWM || Resistance of casein-derived bioactive peptides to simulated gastrointestinal digestion || Bos taurus || Alpha-S1-casein,merged_backbone,merged_sequence_level_authoritative,True,True,,,ace_merged_001778 | ace_merged_001779 || 9543 | MBPDB_P02662_RYL_105-107 || biopep_ace_000518 || 9543 || mbpdb_ace_000293 || MBPDB_P02662_RYL_105-107,3
MYY,3,main,True,False,9.6,5.017728766960431,1,high_activity,0,label_ic50_uM <= 50.0 uM,50.0,2_3,0.95,1.0,0.95,3,10,False,False,Tier B,9.6,9.6,9.6,9.6,1.0,,merged_short23_tiered_standardized || biopep_core_standardized || ahtpdb_clean_um_standardized,https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=3407 || Milk derived || Milk (human casein) || Casein (Beta Casein),source_count=2; spread_ratio=1.0000 || 2 sources and consistent within acceptable spread || AHTPDB | BIOPEP-UWM || BIOPEP-UWM || small || exact_molar_value || not_converted: ic50_type不是mass_unit || Kasahara and Ashihara (1981),merged_backbone,merged_sequence_level_authoritative,True,True,,,ace_merged_001672 | ace_merged_001673 | ace_merged_001674 | ace_merged_001675 | ace_merged_001676 || 2254 | 3407 | 5242 | 6051 | 6385 || biopep_ace_000091 || 3407 || 2254 || 5242 || 6051 || 6385,6
FP,2,main,True,False,315.0,3.5016894462104,0,low_or_weak_activity,1,label_ic50_uM <= 50.0 uM,50.0,2_3,0.8,1.0,0.8,4,23,False,False,Tier D,315.0,20000.0,315.0,315.0,63.49206349206349,,merged_short23_tiered_standardized || mbpdb_core_standardized || ferm_strict_core_standardized || ahtpdb_clean_um_standardized,"1) 10.3168/jds.S0022-0302(98)75878-3, 2) 10.1080/1475636031000138723, 3) 10.1016/j.foodchem.2014.01.056 || Bovine Serum Albumin || Casein albumin || Cheese whey protein || Beta Casein albumin || Milk (cheese whey) || Whey protein","source_count=3; spread_ratio=63.4921 || multi-source evidence but conflicting IC50 range || AHTPDB | FermFooDb | MBPDB || https://webs.iiitd.edu.in/raghava/fermfoodb/display_sub.php?details=FMDB1627 | https://webs.iiitd.edu.in/raghava/fermfoodb/display_sub.php?details=FMDB1639 || 1) Structural analysis of new antihypertensive peptides derived from cheese whey protein by proteinase K digestion, 2) Characterization of New Milk-derived Inhibitors of Angiotensin Converting Enzyme In Vitro and In Vivo, 3) Characterisation of the hydrolytic specificity of Aspergillus niger derived prolyl endoproteinase on bovine β-casein and determination of ACE inhibitory activity || Bos taurus || Serum albumin || within_range_consistent || spread_ratio=1.0000 || Ace-inhibitory || Identification of ACE-inhibitory peptides in different Spanish cheeses by tandem mass spectrometry || spectrophotometric assay using HHL as substrate || small || exact_molar_value || not_converted: ic50_type不是mass_unit || Yamamoto et al. || RP-HPLC, GFC || Enzymatic Hydrolysis of milk proteins || Cushman and Cheung (1971) || Spectrophotometric, HPLC, UPLC || RP-HPLC, GF || GFC, RP-HPLC, HIC",merged_backbone,merged_sequence_level_authoritative,True,True,,,ace_merged_000145 | ace_merged_000146 | ace_merged_000147 | ace_merged_000148 | ace_merged_000149 | ace_merged_000150 | ace_merged_000151 | ace_merged_000152 | ace_merged_000153 | ace_merged_000154 | ace_merged_000155 | ace_merged_000156 || 1334 | 1366 | 1664 | 1743 | 2580 | 5147 | 5565 | 5948 | 6421 | FMDB1627 | FMDB1639 | MBPDB_P02769_FP_246-247 || mbpdb_ace_000007 || MBPDB_P02769_FP_246-247 || fermfoodb_ace_000704 | fermfoodb_ace_000713 || FMDB1627 | FMDB1639 || 1334 || 1664 || 1743 || 2580 || 5147 || 5565 || 5948 || 6421,11
KAF,3,main,True,False,0.63,6.200659450546418,1,high_activity,0,label_ic50_uM <= 50.0 uM,50.0,2_3,0.85,1.0,0.85,2,2,False,False,Tier C,0.63,0.63,0.63,0.63,1.0,,merged_short23_tiered_standardized || biopep_core_standardized,https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=10830,only_one_record_after_merge || single-source evidence with usable IC50 || BIOPEP-UWM || ChEBI: ID 159691 ChemSpider: ID 17224312 Metabolomics Workbench: ID 83469 PubChem: CID 16064706,merged_backbone,merged_sequence_level_authoritative,True,True,,,ace_merged_001387 || 10830 || biopep_ace_000757,2
APP,3,main,True,False,4.6,5.337242168318426,1,high_activity,0,label_ic50_uM <= 50.0 uM,50.0,2_3,0.85,1.0,0.85,2,2,False,False,Tier C,4.6,4.6,4.6,4.6,1.0,,merged_short23_tiered_standardized || ahtpdb_clean_um_standardized,,only_one_record_after_merge || single-source evidence with usable IC50 || AHTPDB || small || exact_molar_value || not_converted: ic50_type不是mass_unit,merged_backbone,merged_sequence_level_authoritative,True,True,,,ace_merged_000878 || 4640,2
LLP,3,main,True,False,57.0,4.2441251443275085,0,low_or_weak_activity,1,label_ic50_uM <= 50.0 uM,50.0,2_3,0.8,1.0,0.8,3,26,False,False,Tier D,57.0,20000.0,57.0,57.0,350.87719298245617,,merged_short23_tiered_standardized || ferm_strict_core_standardized || ahtpdb_clean_um_standardized,21985248 || Cereals (Rye) || Cereals (Maize (Zea mays)) || Alpha-zein,"source_count=2; spread_ratio=350.8772 || multi-source evidence but conflicting IC50 range || AHTPDB | FermFooDb || https://webs.iiitd.edu.in/raghava/fermfoodb/display_sub.php?details=FMDB1035 | https://webs.iiitd.edu.in/raghava/fermfoodb/display_sub.php?details=FMDB1043 | https://webs.iiitd.edu.in/raghava/fermfoodb/display_sub.php?details=FMDB819 | https://webs.iiitd.edu.in/raghava/fermfoodb/display_sub.php?details=FMDB823 | https://webs.iiitd.edu.in/raghava/fermfoodb/display_sub.php?details=FMDB827 | https://webs.iiitd.edu.in/raghava/fermfoodb/display_sub.php?details=FMDB831 | https://webs.iiitd.edu.in/raghava/fermfoodb/display_sub.php?details=FMDB835 | https://webs.iiitd.edu.in/raghava/fermfoodb/display_sub.php?details=FMDB839 || within_range_consistent || spread_ratio=1.0000 || Ace-inhibitory || Fate of ACE-inhibitory peptides during the bread-making process: Quantification of peptides in sourdough, bread crumb, steamed bread and soda crackers || small || exact_molar_value || not_converted: ic50_type不是mass_unit || Cushman and Cheung (1971) || UF, LC-MS || GFC, IEC, RP-HPLC",merged_backbone,merged_sequence_level_authoritative,True,True,,,ace_merged_001489 | ace_merged_001490 | ace_merged_001491 | ace_merged_001492 | ace_merged_001493 | ace_merged_001494 | ace_merged_001495 | ace_merged_001496 | ace_merged_001497 | ace_merged_001498 | ace_merged_001499 | ace_merged_001500 | ace_merged_001501 | ace_merged_001502 || 1278 | 1540 | 1641 | 5231 | 5805 | 6475 | FMDB1035 | FMDB1043 | FMDB819 | FMDB823 | FMDB827 | FMDB831 | FMDB835 | FMDB839 || fermfoodb_ace_000224 | fermfoodb_ace_000228 | fermfoodb_ace_000232 | fermfoodb_ace_000236 | fermfoodb_ace_000240 | fermfoodb_ace_000244 | fermfoodb_ace_000414 | fermfoodb_ace_000422 || FMDB1035 | FMDB1043 | FMDB819 | FMDB823 | FMDB827 | FMDB831 | FMDB835 | FMDB839 || 1278 || 5231 || 5805 || 6475,6
WRP,3,main,True,False,46.71,4.330590132712217,1,high_activity,0,label_ic50_uM <= 50.0 uM,50.0,2_3,0.85,1.0,0.85,2,2,False,False,Tier C,46.71,46.71,46.71,46.71,1.0,,merged_short23_tiered_standardized || biopep_core_standardized,https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=10585,only_one_record_after_merge || single-source evidence with usable IC50 || BIOPEP-UWM || BIOPEP-UWM database of bioactive peptides: ID 8611,merged_backbone,merged_sequence_level_authoritative,True,True,,,ace_merged_002032 || 10585 || biopep_ace_000724,2
