sequence,length,task_role,is_main_23,is_aux_45,label_ic50_uM,label_pIC50,cls_label,cls_label_name,plm4ace_label,cls_source,cls_threshold_ic50_uM,cls_length_range,sample_weight,weight_len,weight_quality,source_count,record_count_total,high_confidence_flag,conflict_flag,tier_23,ic50_uM_min,ic50_uM_max,ic50_uM_median,ic50_uM_mean,ic50_spread_ratio_max_min,source_db_set,origin_source_set,citation_ids,notes,dedup_strategy,label_source_mode,is_from_merged_backbone,contains_merged,source_table_set,source_file_set,raw_record_ids,row_count_after_filter
IWHHT,5,aux,False,True,5.8,5.236572006437063,1,high_activity,0,label_ic50_uM <= 50.0 uM,50.0,2_5,0.4,0.5,0.8,2,7,False,False,,5.1,5.8,5.8,5.5,1.1372549019607845,,biopep_core_standardized || ahtpdb_clean_um_standardized,https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=3348 || Fish (Dried Bonito) || Fish (Dried bonito hydrolysate) || Fish (Bonito (Sarda - dried bonito (katsuobusi))) || Fish (Dried bonito),"BIOPEP-UWM || small || exact_molar_value || not_converted: ic50_type不是mass_unit || Cushman and Cheung (1971) || HPLC || Cushman and Cheung (1971), Yamamoto and others || RP-HPLC, HIC",cross_source_or_source_only_aggregation,aggregated_from_filtered_exact_candidates,False,False,,,biopep_ace_000061 || 3348 || 1066 || 2344 || 4223 || 5323 || 5658 || 6345,7
EVPKA,5,aux,False,True,324.77,3.488424094690084,0,low_or_weak_activity,1,label_ic50_uM <= 50.0 uM,50.0,2_5,0.35,0.5,0.7,1,1,False,False,,324.77,324.77,324.77,324.77,1.0,,mbpdb_core_standardized,10.1016/j.idairyj.2005.12.012,Identification of bioactive peptides after digestion of human milk and infant formula with pepsin and pancreatin || Homo sapiens || Beta-casein,cross_source_or_source_only_aggregation,aggregated_from_filtered_exact_candidates,False,False,,,mbpdb_ace_000232 || MBPDB_P05814_EVPKA_100-104,1
APER,4,aux,False,True,530.21,3.275552085535661,0,low_or_weak_activity,1,label_ic50_uM <= 50.0 uM,50.0,2_5,0.42,0.6,0.7,1,1,False,False,,530.21,530.21,530.21,530.21,1.0,,biopep_core_standardized,https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=8949,BIOPEP-UWM,cross_source_or_source_only_aggregation,aggregated_from_filtered_exact_candidates,False,False,,,biopep_ace_000302 || 8949,1
YAP,3,main,True,False,14.7347740668,4.831656518944989,1,high_activity,0,label_ic50_uM <= 50.0 uM,50.0,2_5,0.85,1.0,0.85,2,2,False,False,Tier C,14.7347740668,14.7347740668,14.7347740668,14.7347740668,1.0,,merged_short23_tiered_standardized || ahtpdb_clean_um_standardized,Cuttlefish skin gelatin,"only_one_record_after_merge || single-source evidence with usable IC50 || AHTPDB || small || exact_mass_value_converted_to_uM_by_molwt || mass_unit_mg_per_mL_converted_to_uM || Nakamura et al. (1995) || GFC, RP-HPLC",merged_backbone,merged_sequence_level_authoritative,True,True,,,ace_merged_002039 || 3710,2
YPQY,4,aux,False,True,142.0,3.847711655616944,0,low_or_weak_activity,1,label_ic50_uM <= 50.0 uM,50.0,2_5,0.42,0.6,0.7,1,1,False,False,,142.0,142.0,142.0,142.0,1.0,,biopep_core_standardized,https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=10477,BIOPEP-UWM,cross_source_or_source_only_aggregation,aggregated_from_filtered_exact_candidates,False,False,,,biopep_ace_000691 || 10477,1
VDF,3,main,True,False,8.295,5.081183609639621,1,high_activity,0,label_ic50_uM <= 50.0 uM,50.0,2_5,0.85,1.0,0.85,2,3,False,False,Tier C,6.59,10.0,8.295,8.295,1.5174506828528074,,merged_short23_tiered_standardized || ahtpdb_clean_um_standardized,Egg (cooked egg protein),"source_count=1; spread_ratio=1.5175 || single-source evidence with usable IC50 || AHTPDB || small || exact_molar_value || not_converted: ic50_type不是mass_unit || CEC, GF, LC-MS",merged_backbone,merged_sequence_level_authoritative,True,True,,,ace_merged_001846 | ace_merged_001847 || 2182 | 5103 || 5103,2
IIP,3,main,True,False,45.4,4.342944147142896,1,high_activity,0,label_ic50_uM <= 50.0 uM,50.0,2_5,0.85,1.0,0.85,2,3,False,False,Tier C,10.0,80.8,45.4,45.4,8.08,,merged_short23_tiered_standardized || ahtpdb_clean_um_standardized,Sweet-potato protein isolate,"source_count=1; spread_ratio=8.0800 || single-source evidence with usable IC50 || AHTPDB || small || exact_molar_value || not_converted: ic50_type不是mass_unit || Cushman and Cheung (1971) || Absorption Chromatography, RP-HPLC",merged_backbone,merged_sequence_level_authoritative,True,True,,,ace_merged_001187 | ace_merged_001188 || 1232 | 2094 || 1232,2
ALEP,4,aux,False,True,6320.0,2.199282921717615,0,low_or_weak_activity,1,label_ic50_uM <= 50.0 uM,50.0,2_5,0.42,0.6,0.7,1,1,False,False,,6320.0,6320.0,6320.0,6320.0,1.0,,ahtpdb_clean_um_standardized,Amaranth (Amaranthus hypochondriacus),small || exact_molar_value || not_converted: ic50_type不是mass_unit,cross_source_or_source_only_aggregation,aggregated_from_filtered_exact_candidates,False,False,,,6757,1
FSWF,4,aux,False,True,121.2,3.9164973801697327,0,low_or_weak_activity,1,label_ic50_uM <= 50.0 uM,50.0,2_5,0.42,0.6,0.7,1,1,False,False,,121.2,121.2,121.2,121.2,1.0,,biopep_core_standardized,https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=10573,BIOPEP-UWM,cross_source_or_source_only_aggregation,aggregated_from_filtered_exact_candidates,False,False,,,biopep_ace_000717 || 10573,1
TVY,3,main,True,False,15.0,4.823908740944319,1,high_activity,0,label_ic50_uM <= 50.0 uM,50.0,2_5,0.8,1.0,0.8,3,11,False,False,Tier D,15.0,20000.0,15.0,15.0,1333.3333333333333,,merged_short23_tiered_standardized || mbpdb_core_standardized || ahtpdb_clean_um_standardized,10.1016/s0014-5793(02)03576-7 || Milk derived || Milk (bovine casein) || Casein,source_count=2; spread_ratio=1333.3333 || multi-source evidence but conflicting IC50 range || AHTPDB | MBPDB || Angiotensin-I-converting enzyme inhibitory peptides from tryptic hydrolysate of bovine αS2-casein || Bos taurus || Alpha-S2-casein || small || exact_molar_value || not_converted: ic50_type不是mass_unit || Cushman and Cheung (1971) || RP-HPLC,merged_backbone,merged_sequence_level_authoritative,True,True,,,ace_merged_001810 | ace_merged_001811 | ace_merged_001812 | ace_merged_001813 | ace_merged_001814 | ace_merged_001815 || 1612 | 2250 | 5252 | 5842 | 6508 | MBPDB_P02663_TVY_197-199 || mbpdb_ace_000269 || MBPDB_P02663_TVY_197-199 || 2250 || 5252 || 5842 || 6508,6
LPG,3,main,True,False,5.73,5.24184537803261,1,high_activity,0,label_ic50_uM <= 50.0 uM,50.0,2_5,0.85,1.0,0.85,2,4,False,False,Tier C,5.73,5.73,5.73,5.73,1.0,,merged_short23_tiered_standardized || ahtpdb_clean_um_standardized,Synthesized || Fish (Alaska pollack (Theragra chalcogramma)),source_count=1; spread_ratio=1.0000 || single-source evidence with usable IC50 || AHTPDB || small || exact_molar_value || not_converted: ic50_type不是mass_unit || Cushman and Cheung (1971) || HPLC,merged_backbone,merged_sequence_level_authoritative,True,True,,,ace_merged_001518 | ace_merged_001519 || 5078 | 6521 || 5078 || 6521,3
VVPPA,5,aux,False,True,79.5,4.0996328713435295,0,low_or_weak_activity,1,label_ic50_uM <= 50.0 uM,50.0,2_5,0.4,0.5,0.8,2,4,False,False,,79.43,79.5,79.5,79.4825,1.000881279113685,,biopep_core_standardized || ahtpdb_clean_um_standardized,https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=7664 || Algae (Chlorella vulgaris),"BIOPEP-UWM || small || exact_molar_value || not_converted: ic50_type不是mass_unit || Cushman and Cheung (1971) || IEC, GFC, HPLC",cross_source_or_source_only_aggregation,aggregated_from_filtered_exact_candidates,False,False,,,biopep_ace_000231 || 7664 || 1034 || 1865 || 2435,4
VIY,3,main,True,False,7.5,5.1249387366083,1,high_activity,0,label_ic50_uM <= 50.0 uM,50.0,2_5,0.85,1.0,0.85,2,13,False,False,Tier C,4.5,20000.0,7.5,7.5,4444.444444444444,,merged_short23_tiered_standardized || ahtpdb_clean_um_standardized,Sesame || Fish skin || Sea-bream skin || Sesame (Sesamum indicum) || Bulfrog (Rana catesbeiana Shaw) muscle protein,"source_count=1; spread_ratio=4444.4444 || single-source evidence with usable IC50 || AHTPDB || small || exact_molar_value || not_converted: ic50_type不是mass_unit || Friedland and Silverstein (1976) || SEC, RPC || exact_mass_value_converted_to_uM_by_molwt || mass_unit_mg_per_mL_converted_to_uM || Cushman and Cheung (1971) || GF, IEC, RP-HPLC || GFC || GFC, RP-HPLC",merged_backbone,merged_sequence_level_authoritative,True,True,,,ace_merged_001870 | ace_merged_001871 | ace_merged_001872 | ace_merged_001873 | ace_merged_001874 | ace_merged_001875 | ace_merged_001876 || 1568 | 1883 | 2937 | 3689 | 5257 | 6190 | 6697 || 1883 || 2937 || 3689 || 5257 || 6190 || 6697,7
IIAMK,5,aux,False,True,498.0,3.3027706572402824,0,low_or_weak_activity,1,label_ic50_uM <= 50.0 uM,50.0,2_5,0.35,0.5,0.7,1,1,False,False,,498.0,498.0,498.0,498.0,1.0,,ahtpdb_clean_um_standardized,Buffalo colostrum Beta Lactoglobulin,"small || exact_molar_value || not_converted: ic50_type不是mass_unit || Jimsheena and Gowda (2009) || HPLC, LC-MS",cross_source_or_source_only_aggregation,aggregated_from_filtered_exact_candidates,False,False,,,5537,1
