dataset,seed,split,metric,value
plm4ace_cleaned_2_5,82,train,n_total,397
plm4ace_cleaned_2_5,82,train,cls_label_0,268
plm4ace_cleaned_2_5,82,train,cls_label_1,129
plm4ace_cleaned_2_5,82,train,length_2,74
plm4ace_cleaned_2_5,82,train,length_3,129
plm4ace_cleaned_2_5,82,train,length_4,94
plm4ace_cleaned_2_5,82,train,length_5,100
plm4ace_cleaned_2_5,82,valid,n_total,100
plm4ace_cleaned_2_5,82,valid,cls_label_0,68
plm4ace_cleaned_2_5,82,valid,cls_label_1,32
plm4ace_cleaned_2_5,82,valid,length_2,23
plm4ace_cleaned_2_5,82,valid,length_3,34
plm4ace_cleaned_2_5,82,valid,length_4,20
plm4ace_cleaned_2_5,82,valid,length_5,23
plm4ace_cleaned_2_5,82,test,n_total,125
plm4ace_cleaned_2_5,82,test,cls_label_0,84
plm4ace_cleaned_2_5,82,test,cls_label_1,41
plm4ace_cleaned_2_5,82,test,length_2,25
plm4ace_cleaned_2_5,82,test,length_3,41
plm4ace_cleaned_2_5,82,test,length_4,18
plm4ace_cleaned_2_5,82,test,length_5,41
