sequence,length,task_role,is_main_23,is_aux_45,label_ic50_uM,label_pIC50,cls_label,cls_label_name,plm4ace_label,cls_source,cls_threshold_ic50_uM,cls_length_range,sample_weight,weight_len,weight_quality,source_count,record_count_total,high_confidence_flag,conflict_flag,tier_23,ic50_uM_min,ic50_uM_max,ic50_uM_median,ic50_uM_mean,ic50_spread_ratio_max_min,source_db_set,origin_source_set,citation_ids,notes,dedup_strategy,label_source_mode,is_from_merged_backbone,contains_merged,source_table_set,source_file_set,raw_record_ids,row_count_after_filter
HHL,3,main,True,False,5.43209876543,5.26503234239263,1,high_activity,0,label_ic50_uM <= 50.0 uM,50.0,2_3,0.8,1.0,0.8,4,16,False,False,Tier D,2.2,20000.0,5.43209876543,5.43209876543,9090.90909090909,,merged_short23_tiered_standardized || biopep_core_standardized || ferm_strict_core_standardized || ahtpdb_clean_um_standardized,https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=7478 || 11410001 || Soybean (Korean fermented soybean paste) || Soybean-derived || Soybean (Fermented soybean paste) || Soybean (Glycine max) || WIPO,"source_count=3; spread_ratio=9090.9091 || multi-source evidence but conflicting IC50 range || AHTPDB | BIOPEP-UWM | FermFooDb || AHTPDB: ID 1535, 1537, 1901, 1980, 2783, 3656, 6225, 6488 BIOPEP-UWM database of bioactive peptides: ID 7478 ChEBI: ID 164530 ChemSpider: ID 8019916 DFBP: ID DFBPACEI0658; DFBPANHY0481; FBPMUFU0144 EROP-Moscow: ID E09152 J-GLOBAL: ID 200907012866993384 Metabolomics Workbench: ID 82426 Nikkaji: ID J1.553.347A PlantPepDB: ID PPepDB_2968 PubChem: CID: 9844201 SATPdb: ID satpdb23858 | https://webs.iiitd.edu.in/raghava/fermfoodb/display_sub.php?details=FMDB775 || BIOPEP-UWM || singleton || only_one_record_in_fermfoodb || Ace-inhibitory || spectrophotometric assay using HHL as substrate || small || exact_mass_value_converted_to_uM_by_molwt || mass_unit_ug_per_mL_converted_to_uM || Cushman and Cheung (1971) || SEC, HPLC || exact_molar_value || not_converted: ic50_type不是mass_unit || IEC, RP-HPLC",merged_backbone,merged_sequence_level_authoritative,True,True,,,ace_merged_001109 | ace_merged_001110 | ace_merged_001111 | ace_merged_001112 | ace_merged_001113 | ace_merged_001114 | ace_merged_001115 | ace_merged_001116 | ace_merged_001117 || 1535 | 1537 | 1901 | 1980 | 2783 | 6225 | 6488 | 7478 | FMDB775 || biopep_ace_000157 || 7478 || fermfoodb_ace_000191 || FMDB775 || 1901 || 1980 || 2783 || 6225 || 6488,8
PSY,3,main,True,False,16.0,4.795880017344075,1,high_activity,0,label_ic50_uM <= 50.0 uM,50.0,2_3,0.85,1.0,0.85,2,7,False,False,Tier C,16.0,20000.0,16.0,16.0,1250.0,,merged_short23_tiered_standardized || ahtpdb_clean_um_standardized,Cereals (Buckwheat) || Soybean (Soy bioactive),"source_count=1; spread_ratio=1250.0000 || single-source evidence with usable IC50 || AHTPDB || small || exact_molar_value || not_converted: ic50_type不是mass_unit || Modified Lieberman’s method || SEC, RPC || GPC, HPLC",merged_backbone,merged_sequence_level_authoritative,True,True,,,ace_merged_001726 | ace_merged_001727 | ace_merged_001728 | ace_merged_001729 || 1622 | 1928 | 5121 | 6545 || 1928 || 5121 || 6545,4
NPR,3,main,True,False,285.4,3.544546031221372,0,low_or_weak_activity,1,label_ic50_uM <= 50.0 uM,50.0,2_3,0.85,1.0,0.85,2,2,False,False,Tier C,285.4,285.4,285.4,285.4,1.0,,merged_short23_tiered_standardized || biopep_core_standardized,https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=9730,only_one_record_after_merge || single-source evidence with usable IC50 || BIOPEP-UWM || PubChem: CID 145454234,merged_backbone,merged_sequence_level_authoritative,True,True,,,ace_merged_001683 || 9730 || biopep_ace_000548,2
MPF,3,main,True,False,17.98,4.74521031260279,1,high_activity,0,label_ic50_uM <= 50.0 uM,50.0,2_3,0.85,1.0,0.85,2,2,False,False,Tier C,17.98,17.98,17.98,17.98,1.0,,merged_short23_tiered_standardized || ahtpdb_clean_um_standardized,Egg (cooked egg protein),"only_one_record_after_merge || single-source evidence with usable IC50 || AHTPDB || small || exact_molar_value || not_converted: ic50_type不是mass_unit || CEC, GF, LC-MS",merged_backbone,merged_sequence_level_authoritative,True,True,,,ace_merged_001661 || 5105,2
YPR,3,main,True,False,16.5,4.782516055786093,1,high_activity,0,label_ic50_uM <= 50.0 uM,50.0,2_3,0.8,1.0,0.8,3,5,False,False,Tier D,16.5,20000.0,16.5,16.5,1212.121212121212,,merged_short23_tiered_standardized || biopep_core_standardized || ahtpdb_clean_um_standardized,https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=3535 || Sake and sake lees,source_count=2; spread_ratio=1212.1212 || multi-source evidence but conflicting IC50 range || AHTPDB | BIOPEP-UWM || BIOPEP-UWM || small || exact_molar_value || not_converted: ic50_type不是mass_unit,merged_backbone,merged_sequence_level_authoritative,True,True,,,ace_merged_002062 | ace_merged_002063 | ace_merged_002064 || 1594 | 3535 | 6452 || biopep_ace_000124 || 3535 || 6452,3
KW,2,main,True,False,9.3,5.031517051446065,1,high_activity,0,label_ic50_uM <= 50.0 uM,50.0,2_3,0.8,1.0,0.8,3,14,False,False,Tier D,1.63,20000.0,9.3,9.3,12269.938650306747,,merged_short23_tiered_standardized || biopep_core_standardized || ahtpdb_clean_um_standardized,https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=3386 || Synthesized || Fish (Sardine (Sardina pilchardus muscle)) || Wakame (Undaria pinnatifida) || Fish (Sardine muscle),"source_count=2; spread_ratio=12269.9387 || multi-source evidence but conflicting IC50 range || AHTPDB | BIOPEP-UWM || BIOPEP-UWM || small || exact_molar_value || not_converted: ic50_type不是mass_unit || Cushman and Cheung (1971) || RP-HPLC || GFC, IEC, RP-HPLC",merged_backbone,merged_sequence_level_authoritative,True,True,,,ace_merged_000395 | ace_merged_000396 | ace_merged_000397 | ace_merged_000398 | ace_merged_000399 | ace_merged_000400 | ace_merged_000401 | ace_merged_000402 || 1359 | 1454 | 2834 | 3386 | 5160 | 6178 | 6257 | 6370 || biopep_ace_000080 || 3386 || 2834 || 5160 || 6178 || 6257 || 6370,7
IA,2,main,True,False,153.0,3.815308569182401,0,low_or_weak_activity,1,label_ic50_uM <= 50.0 uM,50.0,2_3,0.85,1.0,0.85,2,7,False,False,Tier C,153.0,20000.0,153.0,153.0,130.718954248366,,merged_short23_tiered_standardized || ahtpdb_clean_um_standardized,Soybean || Soybean (Soy bioactive),"source_count=1; spread_ratio=130.7190 || single-source evidence with usable IC50 || AHTPDB || small || exact_molar_value || not_converted: ic50_type不是mass_unit || Cushman and Cheung (1971) || IEC, GFC || IEC, GF, HPLC",merged_backbone,merged_sequence_level_authoritative,True,True,,,ace_merged_000295 | ace_merged_000296 | ace_merged_000297 | ace_merged_000298 || 1462 | 1848 | 2666 | 6548 || 1848 || 2666 || 6548,4
LKA,3,main,True,False,8.5,5.070581074285707,1,high_activity,0,label_ic50_uM <= 50.0 uM,50.0,2_3,0.85,1.0,0.85,2,8,False,False,Tier C,8.5,8.5,8.5,8.5,1.0,,merged_short23_tiered_standardized || ahtpdb_clean_um_standardized,Chicken muscle proteins || Creatine Kinase || Creatine kinase || Food-protein,"source_count=1; spread_ratio=1.0000 || single-source evidence with usable IC50 || AHTPDB || small || exact_molar_value || not_converted: ic50_type不是mass_unit || Cushman and Cheung (1971), Yamamoto and others || RP-HPLC || Cushman and Cheung (1971) || GFC || HPLC",merged_backbone,merged_sequence_level_authoritative,True,True,,,ace_merged_001442 | ace_merged_001443 | ace_merged_001444 | ace_merged_001445 || 2019 | 2891 | 5058 | 6555 || 2019 || 2891 || 5058 || 6555,5
FAL,3,main,True,False,26.3,4.580044251510242,1,high_activity,0,label_ic50_uM <= 50.0 uM,50.0,2_3,0.8,1.0,0.8,3,13,False,False,Tier D,26.3,20000.0,26.3,26.3,760.4562737642585,,merged_short23_tiered_standardized || biopep_core_standardized || ahtpdb_clean_um_standardized,https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=7823 || Algae (Chlorella vulgaris) || Microalgae,"source_count=2; spread_ratio=760.4563 || multi-source evidence but conflicting IC50 range || AHTPDB | BIOPEP-UWM || AHTPDB: ID 1032, 1571, 1863, 1867, 3478, 3904, 5100, 6726 BioPepDB: ID biopep00207 ChEBI: ID 161260 EROP-Moscow: ID E07053 FeptideDB: ID 7823 PubChem: CID 145457126 SATPdb: ID satpdb26947 || BIOPEP-UWM || small || exact_molar_value || not_converted: ic50_type不是mass_unit || Cushman and Cheung (1971) || IEC, GFC, HPLC || RP-HPLC",merged_backbone,merged_sequence_level_authoritative,True,True,,,ace_merged_000931 | ace_merged_000932 | ace_merged_000933 | ace_merged_000934 | ace_merged_000935 | ace_merged_000936 | ace_merged_000937 || 1032 | 1571 | 1863 | 1867 | 5100 | 6726 | 7823 || biopep_ace_000240 || 7823 || 1032 || 1863 || 1867 || 5100 || 6726,7
LYP,3,main,True,False,6.6,5.180456064458132,1,high_activity,0,label_ic50_uM <= 50.0 uM,50.0,2_3,0.8,1.0,0.8,3,8,False,False,Tier D,6.6,20000.0,6.6,6.6,3030.3030303030305,,merged_short23_tiered_standardized || biopep_core_standardized || ahtpdb_clean_um_standardized,https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=7550 || Synthesized || Cereals (Finnish),"source_count=2; spread_ratio=3030.3030 || multi-source evidence but conflicting IC50 range || AHTPDB | BIOPEP-UWM || BIOPEP-UWM || small || exact_molar_value || not_converted: ic50_type不是mass_unit || Cushman and Cheung (1971), Yamamoto and others || HPLC",merged_backbone,merged_sequence_level_authoritative,True,True,,,ace_merged_001626 | ace_merged_001627 | ace_merged_001628 | ace_merged_001629 | ace_merged_001630 || 1522 | 2180 | 5069 | 6536 | 7550 || biopep_ace_000173 || 7550 || 5069 || 6536,4
