dataset,seed,split,metric,value
plm4ace_cleaned_2_3,72,train,n_total,208
plm4ace_cleaned_2_3,72,train,cls_label_0,130
plm4ace_cleaned_2_3,72,train,cls_label_1,78
plm4ace_cleaned_2_3,72,train,length_2,71
plm4ace_cleaned_2_3,72,train,length_3,137
plm4ace_cleaned_2_3,72,valid,n_total,52
plm4ace_cleaned_2_3,72,valid,cls_label_0,32
plm4ace_cleaned_2_3,72,valid,cls_label_1,20
plm4ace_cleaned_2_3,72,valid,length_2,22
plm4ace_cleaned_2_3,72,valid,length_3,30
plm4ace_cleaned_2_3,72,test,n_total,66
plm4ace_cleaned_2_3,72,test,cls_label_0,41
plm4ace_cleaned_2_3,72,test,cls_label_1,25
plm4ace_cleaned_2_3,72,test,length_2,29
plm4ace_cleaned_2_3,72,test,length_3,37
